year,quarter,region,economic_activity,facility_size,no_of_faicility,saudi_employees,male_saudies,female_saudies,foreign_employees,male_foreigners,female_foreigners
2023,1,منطقة الجوف,الصناعة,متناهية الصغر,2,0,0,0,6,6,0
2023,1,منطقة الحدود الشمالية,الصناعة,صغيرة,2,3,1,2,25,25,0
2023,1,منطقة الحدود الشمالية,الصناعة,متناهية الصغر,1,0,0,0,1,1,0
2023,1,منطقة الرياض,الصناعة,صغيرة,113,576,230,346,1757,1743,14
2023,1,منطقة الرياض,الصناعة,كبيرة,2,146,33,113,383,383,0
2023,1,منطقة الرياض,الصناعة,متناهية الصغر,119,52,24,28,271,268,3
2023,1,منطقة الرياض,الصناعة,متوسطة,44,1161,661,500,3518,3504,14
2023,1,منطقة القصيم,الصناعة,صغيرة,12,46,21,25,175,174,1
2023,1,منطقة القصيم,الصناعة,متناهية الصغر,18,5,1,4,42,42,0
2023,1,منطقة القصيم,الصناعة,متوسطة,4,102,61,41,344,344,0
2023,1,منطقة المدينة المنورة,الصناعة,صغيرة,13,55,28,27,202,197,5
2023,1,منطقة المدينة المنورة,الصناعة,متناهية الصغر,15,6,1,5,21,21,0
2023,1,منطقة المدينة المنورة,الصناعة,متوسطة,2,32,26,6,108,108,0
2023,1,منطقة تبوك,الصناعة,صغيرة,4,16,9,7,72,72,0
2023,1,منطقة تبوك,الصناعة,متناهية الصغر,3,0,0,0,7,7,0
2023,1,منطقة تبوك,الصناعة,متوسطة,1,19,7,12,40,40,0
2023,1,منطقة جازان,الصناعة,صغيرة,3,8,3,5,20,20,0
2023,1,منطقة جازان,الصناعة,متناهية الصغر,4,1,0,1,11,11,0
2023,1,منطقة جازان,الصناعة,متوسطة,1,26,10,16,84,84,0
2023,1,منطقة حائل,الصناعة,صغيرة,4,20,5,15,52,52,0
2023,1,منطقة حائل,الصناعة,متناهية الصغر,5,1,1,0,19,19,0
2023,1,منطقة عسير,الصناعة,صغيرة,10,32,15,17,104,104,0
2023,1,منطقة عسير,الصناعة,متناهية الصغر,10,5,3,2,27,27,0
2023,1,منطقة عسير,الصناعة,متوسطة,1,16,3,13,49,49,0
2023,1,منطقة مكة المكرمة,الصناعة,صغيرة,82,340,199,141,1140,1135,5
2023,1,منطقة مكة المكرمة,الصناعة,كبيرة,4,602,453,149,1412,1402,10
2023,1,منطقة مكة المكرمة,الصناعة,متناهية الصغر,58,29,14,15,123,117,6
2023,1,منطقة مكة المكرمة,الصناعة,متوسطة,32,977,506,471,2330,2318,12
2023,1,منطقة نجران,الصناعة,صغيرة,2,5,3,2,37,37,0
2023,1,منطقة نجران,الصناعة,متناهية الصغر,20,3,1,2,46,46,0
2023,1,المنطقة الشرقية,الصناعة,صغيرة,190,1169,784,385,3018,3001,17
2023,1,المنطقة الشرقية,الصناعة,كبيرة,19,10830,10565,265,3388,3388,0
2023,1,المنطقة الشرقية,الصناعة,متناهية الصغر,134,68,45,23,259,258,1
2023,1,المنطقة الشرقية,الصناعة,متوسطة,96,3579,3031,548,6260,6253,7
2023,1,منطقة الباحة,الصناعة,صغيرة,4,7,6,1,28,28,0
2023,1,منطقة الباحة,الصناعة,متناهية الصغر,4,0,0,0,11,11,0
2023,1,منطقة الباحة,الصناعة,متوسطة,1,19,5,14,50,50,0
2023,1,منطقة الجوف,الصناعة,صغيرة,2,3,0,3,10,10,0
2023,1,منطقة الجوف,الصناعة,متناهية الصغر,8,1,1,0,15,15,0
2023,1,منطقة الحدود الشمالية,الصناعة,صغيرة,2,13,13,0,7,7,0
2023,1,منطقة الحدود الشمالية,الصناعة,كبيرة,1,547,530,17,147,146,1
2023,1,منطقة الحدود الشمالية,الصناعة,متناهية الصغر,7,2,2,0,11,11,0
2023,1,منطقة الرياض,الصناعة,صغيرة,423,1953,844,1109,6623,6584,39
2023,1,منطقة الرياض,الصناعة,كبيرة,16,3988,2755,1233,4543,4526,17
2023,1,منطقة الرياض,الصناعة,متناهية الصغر,486,194,98,96,1008,991,17
2023,1,منطقة الرياض,الصناعة,متوسطة,108,2737,1397,1340,7530,7516,14
2023,1,منطقة القصيم,الصناعة,صغيرة,21,70,41,29,296,295,1
2023,1,منطقة القصيم,الصناعة,كبيرة,2,448,416,32,1359,1358,1
2023,1,منطقة القصيم,الصناعة,متناهية الصغر,27,13,7,6,53,53,0
2023,1,منطقة القصيم,الصناعة,متوسطة,7,189,116,73,564,564,0
2023,1,منطقة المدينة المنورة,الصناعة,صغيرة,34,184,139,45,446,444,2
2023,1,منطقة المدينة المنورة,الصناعة,كبيرة,5,2785,2764,21,655,655,0
2023,1,منطقة المدينة المنورة,الصناعة,متناهية الصغر,35,16,5,11,63,61,2
2023,1,منطقة المدينة المنورة,الصناعة,متوسطة,15,487,425,62,793,792,1
2023,1,منطقة تبوك,الصناعة,صغيرة,11,60,38,22,198,196,2
2023,1,منطقة تبوك,الصناعة,كبيرة,1,372,218,154,513,512,1
2023,1,منطقة تبوك,الصناعة,متناهية الصغر,18,5,3,2,42,42,0
2023,1,منطقة جازان,الصناعة,صغيرة,10,26,9,17,100,99,1
2023,1,منطقة جازان,الصناعة,متناهية الصغر,18,7,3,4,48,46,2
2023,1,منطقة جازان,الصناعة,متوسطة,1,9,9,0,66,66,0
2023,1,منطقة حائل,الصناعة,صغيرة,11,14,6,8,121,121,0
2023,1,منطقة حائل,الصناعة,متناهية الصغر,55,8,5,3,152,152,0
2023,1,منطقة حائل,الصناعة,متوسطة,1,6,5,1,44,44,0
2023,1,منطقة عسير,الصناعة,صغيرة,25,97,52,45,415,413,2
2023,1,منطقة عسير,الصناعة,كبيرة,1,613,491,122,1405,1401,4
2023,1,منطقة عسير,الصناعة,متناهية الصغر,32,12,8,4,68,68,0
2023,1,منطقة عسير,الصناعة,متوسطة,5,130,84,46,341,341,0
2023,1,منطقة مكة المكرمة,الصناعة,صغيرة,206,1008,518,490,3272,3239,33
2023,1,منطقة مكة المكرمة,الصناعة,كبيرة,4,719,533,186,1467,1463,4
2023,1,منطقة مكة المكرمة,الصناعة,متناهية الصغر,250,126,70,56,512,497,15
2023,1,منطقة مكة المكرمة,الصناعة,متوسطة,77,2207,1320,887,5379,5345,34
2023,1,منطقة نجران,الصناعة,صغيرة,5,18,15,3,101,101,0
2023,1,منطقة نجران,الصناعة,متناهية الصغر,10,1,1,0,21,21,0
2023,1,منطقة نجران,الصناعة,متوسطة,3,61,23,38,160,160,0
2023,1,المنطقة الشرقية,الصناعة,صغيرة,78,176,85,91,819,806,13
2023,1,المنطقة الشرقية,الصناعة,كبيرة,1,69,47,22,183,183,0
2023,1,المنطقة الشرقية,الصناعة,متناهية الصغر,305,60,29,31,675,661,14
2023,1,المنطقة الشرقية,الصناعة,متوسطة,7,164,139,25,636,635,1
2023,1,منطقة الباحة,الصناعة,صغيرة,2,5,3,2,24,24,0
2023,1,منطقة الباحة,الصناعة,متناهية الصغر,21,5,1,4,55,54,1
2023,1,منطقة الجوف,الصناعة,صغيرة,4,3,1,2,25,25,0
2023,1,منطقة الجوف,الصناعة,متناهية الصغر,64,9,5,4,155,154,1
2023,1,منطقة الحدود الشمالية,الصناعة,صغيرة,2,1,1,0,14,14,0
2023,1,منطقة الحدود الشمالية,الصناعة,متناهية الصغر,27,6,5,1,62,62,0
2023,1,منطقة الرياض,الصناعة,صغيرة,108,253,96,157,1186,1181,5
2023,1,منطقة الرياض,الصناعة,كبيرة,7,1507,1032,475,3850,3822,28
2023,1,منطقة الرياض,الصناعة,متناهية الصغر,554,94,33,61,1286,1276,10
2023,1,منطقة الرياض,الصناعة,متوسطة,12,312,171,141,974,971,3
2023,1,منطقة القصيم,الصناعة,صغيرة,14,29,27,2,112,112,0
2023,1,منطقة القصيم,الصناعة,متناهية الصغر,86,18,8,10,211,211,0
